VAR,RESPONSE,MEANING
SC01,1,Nein (nicht an der Studie teilnehmen)
SC01,2,Ja
SC01,-9,Not answered
GE02,1,Ja ich spreche Deutsch auf muttersprachlichem Niveau.
GE02,2,Nein ich spreche Deutsch nicht auf muttersprachlichem Niveau.
GE02,-9,Not answered
RN01,1,female
RN01,2,male
RN01,3,person
FA02x01,55865,55865
FA02x01,48386,48386
FA02x01,80900,80900
FA02x01,49901,49901
FA02x01,77513,77513
FA02x01,35706,35706
FA02x01,14690,14690
FA02x01,36927,36927
FA02x01,13364,13364
FA02x01,50042,50042
FA02x01,80075,80075
FA02x01,26652,26652
FA02x01,64483,64483
FA02x01,8552,8552
FA02x01,46013,46013
FA02x01,13079,13079
FA02x01,34158,34158
FA02x01,59168,59168
FA02x01,57801,57801
FA02x01,55345,55345
FA02x01,85082,85082
FA02x01,38242,38242
FA02x01,74568,74568
FA02x01,65982,65982
FA02x01,47023,47023
FA02x01,70228,70228
FA02x01,24281,24281
FA02x01,69837,69837
FA02x01,1329,1329
FA02x01,9875,9875
FA02x01,38931,38931
FA02x01,68959,68959
FA02x01,11697,11697
FA02x01,43133,43133
FA02x01,41172,41172
FA02x01,31005,31005
FA02x01,51234,51234
FA02x01,52537,52537
FA02x01,38300,38300
FA02x01,846,846
FA02x01,24081,24081
FA02x01,63538,63538
FA02x01,10162,10162
FA02x01,82189,82189
FA02x01,82192,82192
FA02x01,21730,21730
FA02x01,28889,28889
FA02x01,80206,80206
FA02x01,79400,79400
FA02x01,83057,83057
FA02x01,40846,40846
FA02x01,61893,61893
FA02x01,45667,45667
FA02x01,54362,54362
FA02x01,58537,58537
FA02x01,83079,83079
FA02x01,57266,57266
FA02x01,37017,37017
FA02x01,1314,1314
FA02x01,40183,40183
FA02x01,85630,85630
FA02x01,83238,83238
FA02x01,22481,22481
FA02x01,51167,51167
FA02x01,67750,67750
FA02x01,23249,23249
FA02x01,63170,63170
FA02x01,68662,68662
FA02x01,48044,48044
FA02x01,16590,16590
FA02x01,44437,44437
FA02x01,74827,74827
FA02x01,50744,50744
FA02x01,79303,79303
FA02x01,41104,41104
FA02x01,22779,22779
FA02x01,65057,65057
FA02x01,28630,28630
FA02x01,39531,39531
FA02x01,41972,41972
FA02x01,36649,36649
FA02x01,10564,10564
FA02x01,76467,76467
FA02x01,9492,9492
FA02x01,18515,18515
FA02x01,17431,17431
FA02x01,40427,40427
FA02x01,20226,20226
FA02x01,48794,48794
FA02x01,3684,3684
FA02x01,19412,19412
FA02x01,41541,41541
FA02x01,84646,84646
FA02x01,61906,61906
FA02x01,2439,2439
FA02x01,54158,54158
FA02x01,60282,60282
FA02x01,75746,75746
FA02x01,24701,24701
FA02x01,45403,45403
FA02x01,6943,6943
FA02x01,15995,15995
FA02x01,66472,66472
FA02x01,35318,35318
FA02x01,17976,17976
FA02x01,60794,60794
FA02x01,82538,82538
FA02x01,85686,85686
FA02x01,66151,66151
FA02x01,84419,84419
FA02x01,53229,53229
FA02x01,56312,56312
FA02x01,37176,37176
FA02x01,74857,74857
FA02x01,2287,2287
FA02x01,82234,82234
FA02x01,33788,33788
FA02x01,84596,84596
FA02x01,29200,29200
FA02x01,61215,61215
FA02x01,75202,75202
FA02x01,8508,8508
FA02x01,57057,57057
FA02x01,35309,35309
FA02x01,65114,65114
FA02x01,17997,17997
FA02x01,66900,66900
FA02x01,59944,59944
FA02x01,43243,43243
FA02x01,77994,77994
FA02x01,40289,40289
FA02x01,28013,28013
FA02x01,27633,27633
FA02x01,30721,30721
FA02x01,45707,45707
FA02x01,12189,12189
FA02x01,76725,76725
FA02x01,39553,39553
FA02x01,80252,80252
FA02x01,16535,16535
FA02x01,53313,53313
FA02x01,56437,56437
FA02x01,81557,81557
FA02x01,3403,3403
FA02x01,65204,65204
FA02x01,32949,32949
FA02x01,37611,37611
FA02x01,54946,54946
FA02x01,6715,6715
FA02x01,53058,53058
FA02x01,16660,16660
FA02x01,85606,85606
FA02x01,38047,38047
FA02x01,24347,24347
FA02x01,47780,47780
FA02x01,67606,67606
FA02x01,11810,11810
FA02x01,4883,4883
FA02x01,4721,4721
FA02x01,83398,83398
FA02x01,15124,15124
FA02x01,26759,26759
FA02x01,33283,33283
FA02x01,83063,83063
FA02x01,71366,71366
FA02x01,48379,48379
FA02x01,6766,6766
FA02x01,77247,77247
FA02x01,41411,41411
FA02x01,26323,26323
FA02x01,30609,30609
FA02x01,48534,48534
FA02x01,38290,38290
FA02x01,42799,42799
FA02x01,81932,81932
FA02x01,32537,32537
FA02x01,73779,73779
FA02x01,42025,42025
FA02x01,48227,48227
FA02x01,52338,52338
FA02x01,16287,16287
FA02x01,2833,2833
FA02x01,1372,1372
FA02x01,20048,20048
FA02x01,75710,75710
FA02x01,48130,48130
FA02x01,73721,73721
FA02x01,6711,6711
FA02x01,45377,45377
FA02x01,10685,10685
FA02x01,27513,27513
FA02x01,46781,46781
FA02x01,32877,32877
FA02x01,28248,28248
FA02x01,40481,40481
FA02x01,73794,73794
FA02x01,36361,36361
FA02x01,6651,6651
FA02x01,47113,47113
FA02x01,65037,65037
FA02x01,28836,28836
FA02x01,31934,31934
FA02x01,43229,43229
FA02x01,11717,11717
FA02x01,68223,68223
FA02x01,40246,40246
FA02x01,78876,78876
FA02x01,21822,21822
FA02x01,26925,26925
FA02x01,69791,69791
FA02x01,4685,4685
FA02x01,57566,57566
FA02x01,23324,23324
FA02x01,32066,32066
FA02x01,30595,30595
FA02x01,31088,31088
FA02x01,75474,75474
FA02x01,49603,49603
FA02x01,6140,6140
FA02x01,70174,70174
FA02x01,1861,1861
FA02x01,19549,19549
FA02x01,63621,63621
FA02x01,41796,41796
FA02x01,58498,58498
FA02x01,44773,44773
FA02x01,42240,42240
FA02x01,74884,74884
FA02x01,34498,34498
FA02x01,58093,58093
FA02x01,42360,42360
FA02x01,52205,52205
FA02x01,74680,74680
FA02x01,77367,77367
FA02x01,8757,8757
FA02x01,29047,29047
FA02x01,21832,21832
FA02x01,53739,53739
FA02x01,4846,4846
FA02x01,56924,56924
FA02x01,14931,14931
FA02x01,41736,41736
FA02x01,27045,27045
FA02x01,28901,28901
FA02x01,30491,30491
FA02x01,32971,32971
FA02x01,20973,20973
FA02x01,78483,78483
FA02x01,9463,9463
FA02x01,78158,78158
FA02x01,59201,59201
FA02x01,69879,69879
FA02x01,30677,30677
FA02x01,83517,83517
FA02x01,82479,82479
FA02x01,66333,66333
FA02x01,54264,54264
FA02x01,14316,14316
FA02x01,18849,18849
FA02x01,37709,37709
FA02x01,44141,44141
FA02x01,31351,31351
FA02x01,1585,1585
FA02x01,64000,64000
FA02x01,13774,13774
FA02x01,49877,49877
FA02x01,70971,70971
FA02x01,51269,51269
FA02x01,12233,12233
FA02x01,15760,15760
FA02x01,3124,3124
FA02x01,30013,30013
FA02x01,5959,5959
FA02x01,27526,27526
FA02x01,9746,9746
